date,n1,n2,n3,n4,n5,pb
12/20/25,4,5,28,52,69,20
12/17/25,25,33,53,62,66,17
12/15/25,23,35,59,63,68,2
12/13/25,1,28,31,57,58,16
12/10/25,10,16,29,33,69,22
12/8/25,8,32,52,56,64,23
12/6/25,13,14,26,28,44,7
12/3/25,1,14,20,46,51,26
12/1/25,5,18,26,47,59,1
11/29/25,19,22,30,32,59,1
11/26/25,7,8,15,19,28,3
11/24/25,8,16,26,30,58,14
11/22/25,28,32,36,51,69,2
11/19/25,10,31,49,51,68,19
11/17/25,7,33,50,57,66,23
11/15/25,6,7,12,47,53,21
11/12/25,29,39,43,51,65,23
11/10/25,6,28,44,48,58,23
11/8/25,3,53,60,62,68,11
11/5/25,9,17,29,61,66,26
11/3/25,3,32,40,43,57,18
11/1/25,2,26,43,44,62,22
10/29/25,4,24,49,60,65,1
10/27/25,17,39,43,51,66,20
10/25/25,2,12,22,39,67,15
10/22/25,18,37,52,54,60,12
10/20/25,32,38,66,67,69,19
10/18/25,3,11,27,40,58,10
10/15/25,10,13,28,34,47,15
10/13/25,13,14,32,52,64,12
10/11/25,13,16,18,20,27,10
10/8/25,8,10,44,48,54,14
10/6/25,28,29,32,66,67,3
10/4/25,3,7,47,67,68,2
10/1/25,8,17,22,28,55,14
9/29/25,1,3,27,60,65,16
9/27/25,10,16,32,61,66,4
9/24/25,15,31,45,49,53,19
9/22/25,3,29,42,46,59,15
9/20/25,15,29,64,66,67,4
9/17/25,7,30,50,54,62,20
9/15/25,14,15,32,42,49,1
9/13/25,28,37,42,50,53,19
9/10/25,2,24,45,53,64,5
9/8/25,26,28,41,53,64,9
9/6/25,11,23,44,61,62,17
9/3/25,3,16,29,61,69,22
9/1/25,8,23,25,40,53,5
8/30/25,3,18,22,27,33,17
8/27/25,9,12,22,41,61,25
8/25/25,16,19,34,37,64,22
8/23/25,11,14,34,47,51,18
8/20/25,31,59,62,65,68,5
8/18/25,15,46,61,63,64,1
8/16/25,23,40,49,65,69,23
8/13/25,4,11,40,44,50,4
8/11/25,6,16,33,40,62,2
8/9/25,7,14,23,24,60,14
8/6/25,15,27,43,45,53,9
8/4/25,8,9,19,31,38,21
8/2/25,6,18,34,35,36,2
7/30/25,4,15,35,50,64,8
7/28/25,7,35,36,43,62,3
7/26/25,8,31,57,65,67,23
7/23/25,2,18,19,25,35,25
7/21/25,8,11,28,33,42,2
7/19/25,28,48,51,61,69,20
7/16/25,4,21,43,48,49,22
7/14/25,8,12,45,46,63,24
7/12/25,8,16,24,33,54,18
7/9/25,5,9,25,28,69,5
7/7/25,33,35,58,61,69,25
7/5/25,1,28,34,50,58,8
7/2/25,7,19,21,54,63,21
6/30/25,13,28,44,52,55,6
6/28/25,4,35,43,52,62,12
6/25/25,2,12,37,51,61,22
6/23/25,5,25,42,44,65,20
6/21/25,3,16,32,52,62,24
6/18/25,23,29,50,64,67,11
6/16/25,17,21,23,27,52,19
6/14/25,4,6,9,23,59,25
6/11/25,13,25,29,37,53,3
6/9/25,30,33,40,43,52,25
6/7/25,31,36,43,48,62,25
6/4/25,5,17,23,35,45,24
6/2/25,1,7,44,57,61,21
5/31/25,1,29,37,56,68,13
5/28/25,23,27,32,35,59,11
5/26/25,13,47,52,64,67,25
5/24/25,12,18,28,48,52,5
5/21/25,9,29,31,34,43,2
5/19/25,13,14,37,50,60,11
5/17/25,7,34,40,42,52,15
5/14/25,4,10,24,29,53,4
5/12/25,15,16,41,48,60,21
5/10/25,5,20,28,39,42,13
5/7/25,14,15,30,40,59,20
5/5/25,16,34,40,45,66,19
5/3/25,10,21,23,35,65,24
4/30/25,1,2,3,57,59,9
4/28/25,26,43,51,56,60,24
4/26/25,1,12,14,18,69,2
4/23/25,15,44,63,66,69,20
4/21/25,4,33,45,46,51,25
4/19/25,7,25,37,39,63,1
4/16/25,20,24,42,43,49,19
4/14/25,3,20,30,52,62,1
4/12/25,16,22,44,45,53,19
4/9/25,4,29,37,55,67,10
4/7/25,20,23,48,59,66,4
4/5/25,4,23,30,46,62,2
4/2/25,5,17,41,64,69,1
3/31/25,12,41,44,52,64,25
3/29/25,7,11,21,53,61,2
3/26/25,5,20,29,39,53,6
3/24/25,6,23,35,36,47,12
3/22/25,6,7,25,46,57,12
3/19/25,8,11,21,49,59,15
3/17/25,11,18,23,38,60,9
3/15/25,12,28,33,36,54,5
3/12/25,11,13,28,51,58,1
3/10/25,17,40,47,50,55,6
3/8/25,2,4,16,23,63,13
3/5/25,24,28,40,63,65,20
3/3/25,18,20,50,52,56,20
3/1/25,2,23,36,44,49,25
2/26/25,28,48,55,60,62,20
2/24/25,10,11,34,59,68,14
2/22/25,7,18,22,50,65,15
2/19/25,6,21,28,49,60,20
2/17/25,4,44,47,52,57,9
2/15/25,3,16,45,54,56,12
2/12/25,21,32,36,45,49,18
2/10/25,2,17,18,29,43,3
2/8/25,23,44,57,60,62,9
2/5/25,19,27,30,50,62,14
2/3/25,12,37,47,54,60,17
2/1/25,23,29,32,49,61,8
1/29/25,8,12,31,33,38,18
1/27/25,2,40,47,53,55,20
1/25/25,8,15,17,53,66,14
1/22/25,5,6,27,40,49,5
1/20/25,15,16,32,47,54,6
1/18/25,14,31,35,64,69,23
1/15/25,8,41,52,53,58,7
1/13/25,4,6,16,39,66,9
1/11/25,3,6,32,37,65,4
1/8/25,1,20,36,38,43,24
1/6/25,17,34,46,66,67,14
1/4/25,26,32,43,54,56,24
1/1/25,6,12,28,35,66,26
12/30/24,9,19,33,38,39,1
12/28/24,6,31,51,54,55,12
12/25/24,15,26,27,30,35,3
12/23/24,22,42,44,57,64,18
12/21/24,1,12,17,21,58,1
12/18/24,6,15,18,33,49,7
12/16/24,9,30,33,57,61,17
12/14/24,12,17,23,52,67,1
12/11/24,13,44,50,52,54,20
12/9/24,35,37,40,45,51,24
12/7/24,1,31,43,55,57,22
12/4/24,1,23,25,28,61,13
12/2/24,3,9,26,61,67,13
11/30/24,4,24,29,39,63,25
11/27/24,1,6,7,13,40,5
11/25/24,5,35,45,60,63,12
11/23/24,12,13,34,44,67,8
11/20/24,16,30,60,62,64,25
11/18/24,27,31,41,52,69,26
11/16/24,21,22,25,32,38,16
11/13/24,9,20,26,43,58,9
11/11/24,3,21,24,34,46,9
11/9/24,11,24,50,56,66,16
11/6/24,12,17,37,58,62,4
11/4/24,6,18,33,48,53,21
11/2/24,10,45,48,58,61,2
10/30/24,13,22,29,43,58,22
10/28/24,21,27,32,48,67,17
10/26/24,8,12,40,45,51,15
10/23/24,2,15,27,29,39,20
10/21/24,1,25,57,62,64,15
10/19/24,7,16,19,45,64,25
10/16/24,4,30,39,44,60,11
10/14/24,14,18,33,64,67,14
10/12/24,5,14,20,41,57,6
10/9/24,25,32,43,53,66,10
10/7/24,18,30,31,52,63,22
10/5/24,2,12,46,52,65,3
10/2/24,1,2,21,37,43,21
9/30/24,9,11,30,43,69,20
9/28/24,3,11,13,24,39,22
9/25/24,2,26,45,46,52,21
9/23/24,15,21,25,37,45,19
9/21/24,17,19,21,37,45,14
9/18/24,1,11,22,47,68,7
9/16/24,8,9,11,27,31,17
9/14/24,29,34,38,48,56,16
9/11/24,10,12,55,65,67,3
9/9/24,1,16,21,47,60,5
9/7/24,14,34,37,55,63,20
9/4/24,7,10,21,33,59,20
9/2/24,8,42,46,48,53,22
8/31/24,4,34,35,38,69,19
8/28/24,5,33,47,50,64,20
8/26/24,2,4,23,68,69,15
8/24/24,5,15,21,24,43,17
8/21/24,27,31,33,38,67,3
8/19/24,1,2,15,23,28,10
8/17/24,12,31,43,45,46,22
8/14/24,8,9,23,29,62,13
8/12/24,9,22,57,67,68,14
8/10/24,9,24,33,64,69,9
8/7/24,6,19,35,47,57,9
8/5/24,29,42,44,51,54,12
8/3/24,13,33,40,60,61,20
7/31/24,23,34,37,50,58,7
7/29/24,11,27,30,33,44,16
7/27/24,3,31,37,40,64,17
7/24/24,16,42,59,63,68,13
7/22/24,31,36,56,58,69,20
7/20/24,18,25,31,40,57,4
7/17/24,24,27,32,47,66,26
7/15/24,9,31,39,40,45,23
7/13/24,9,55,59,66,69,21
7/10/24,7,11,12,27,46,26
7/8/24,20,22,31,33,45,1
7/6/24,5,32,35,39,49,21
7/3/24,2,26,33,55,57,22
7/1/24,5,9,32,39,55,9
6/29/24,26,51,54,61,69,25
6/26/24,4,9,36,47,56,7
6/24/24,5,6,36,53,69,8
6/22/24,4,5,15,32,62,21
6/19/24,4,27,44,50,64,7
6/17/24,30,48,53,58,66,9
6/15/24,4,36,48,54,56,2
6/12/24,19,30,31,61,62,21
6/10/24,3,10,33,58,59,9
6/8/24,8,38,52,54,64,15
6/5/24,8,44,45,51,69,12
6/3/24,19,29,35,36,45,16
6/1/24,28,38,52,54,68,8
5/29/24,17,34,56,60,61,9
5/27/24,9,30,39,49,59,21
5/25/24,6,33,35,36,64,24
5/22/24,5,16,18,26,67,4
5/20/24,1,7,48,64,68,5
5/18/24,19,36,37,42,59,19
5/15/24,19,42,45,55,69,6
5/13/24,5,14,29,38,66,1
